CodItem,DescItem,Ano
7169,Índice geral,1999
7170,1.Alimentação e bebidas,1999
7171,11.Alimentação no domicílio,1999
7172,"1101.Cereais, leguminosas e oleaginosas",1999
7173,1101002.Arroz,1999
7175,1101051.Feijão - mulatinho,1999
7176,1101052.Feijão - preto,1999
7177,1101053.Feijão - macassar (fradinho),1999
7178,1101064.Feijão - jalo (enxofrão),1999
7179,1101068.Feijão - roxo,1999
7180,1101073.Feijão - carioca (rajado)),1999
7181,1101079.Milho em grão,1999
7182,1101080.Milho em espiga,1999
7184,"1102.Farinhas, féculas e massas",1999
7185,1102001.Farinha de arroz,1999
7186,1102002.Aveia em flocos,1999
7187,1102006.Macarrão,1999
7188,1102008.Fubá de milho,1999
7189,1102009.Amido de milho,1999
7190,1102010.Flocos de milho,1999
7191,1102012.Farinha de trigo,1999
7192,1102013.Farinha vitaminada,1999
7193,1102016.Flocos de cereais,1999
7194,1102022.Fécula de mandioca,1999
7195,1102023.Farinha de mandioca,1999
7196,1102028.Cremogema,1999
7197,1102038.Massa para pizza,1999
7198,1102040.Massa para pastel,1999
7199,1102043.Massa para lasanha,1999
7200,"1103.Tubérculos, raízes e legumes",1999
7201,1103002.Batata-doce,1999
7202,1103003.Batata-inglesa,1999
7203,1103004.Inhame,1999
7204,1103005.Mandioca (aipim),1999
7205,1103017.Abóbora,1999
7206,1103020.Abobrinha,1999
7207,1103021.Chuchu,1999
7208,1103022.Jiló,1999
7209,1103025.Pepino,1999
7210,1103026.Pimentão,1999
7211,1103027.Quiabo,1999
7212,1103028.Tomate,1999
7213,1103029.Vagem,1999
7214,1103042.Beterraba,1999
7215,1103043.Cebola,1999
7216,1103044.Cenoura,1999
7217,1103046.Batata-baroa,1999
7218,1103048.Mandioquinha (batata-aipo),1999
7219,1104.Açúcares e derivados,1999
7220,1104003.Açúcar refinado,1999
7221,1104004.Açúcar cristal,1999
7222,1104014.Rapadura,1999
7223,"1104018.Balas, chicletes, etc.",1999
7224,1104023.Chocolate em barra,1999
7225,1104024.Bombom,1999
7226,1104027.Geléia de frutas,1999
7227,1104028.Gelatina de frutas em pó,1999
7228,1104029.Geléia de mocotó,1999
7229,1104031.Mel de abelha,1999
7230,1104032.Sorvete,1999
7231,1104052.Achocolatado em pó,1999
7232,1104059.Doce de frutas em calda,1999
7233,1104060.Doce de frutas em pasta,1999
7234,1104064.Pamonha,1999
7235,1104066.Doce de leite,1999
7236,1104069.Adoçante artificial,1999
7237,1104075.Fruta seca,1999
7239,1104095.Beiju,1999
7240,1104096.Schimier de frutas,1999
7241,1105.Hortaliças e verduras,1999
7242,1105001.Alface,1999
7243,1105003.Chicória,1999
7244,1105004.Coentro,1999
7245,1105005.Couve,1999
7246,1105006.Couve-flor,1999
7248,1105010.Repolho,1999
7249,1105012.Cheiro-verde,1999
7250,1105013.Agrião,1999
7251,1105017.Almeirão,1999
7252,1105018.Cebolinha,1999
7253,1105019.Brócolis,1999
7254,1106.Frutas,1999
7255,1106001.Banana-da-terra,1999
7256,1106003.Abacaxi,1999
7257,1106004.Abacate,1999
7258,1106005.Banana - d'água,1999
7259,1106006.Banana - maçã,1999
7260,1106008.Banana - prata,1999
7262,1106011.Laranja - baía,1999
7263,1106012.Laranja - lima,1999
7264,1106013.Laranja - seleta,1999
7265,1106015.Limão,1999
7266,1106017.Maçã,1999
7267,1106018.Mamão,1999
7268,1106019.Manga,1999
7269,1106020.Maracujá,1999
7270,1106021.Melancia,1999
7271,1106022.Melão,1999
7272,1106023.Pera,1999
7273,1106024.Pêssego,1999
7274,1106026.Acerola,1999
7275,1106027.Tangerina,1999
7276,1106028.Uva,1999
7278,1106034.Ameixa,1999
7279,1106039.Laranja - pera,1999
7280,1106051.Morango,1999
7282,1106097.Cupuaçú,1999
7283,1107.Carnes,1999
7284,1107008.Tripa e bucho,1999
7285,1107009.Fígado,1999
7287,1107018.Carne de porco,1999
7288,1107031.Carne de carneiro,1999
7290,1107081.Cupim,1999
7291,1107084.Contrafilé,1999
7292,1107085.Filé-mignon,1999
7293,1107087.Chã de dentro,1999
7294,1107088.Alcatra,1999
7295,1107089.Patinho,1999
7296,1107090.Lagarto redondo,1999
7297,1107091.Lagarto plano,1999
7298,1107093.Músculo,1999
7299,1107094.Pá,1999
7300,1107095.Acém,1999
7301,1107096.Peito,1999
7302,1107099.Costela,1999
7303,1108.Pescados,1999
7304,1108001.Filé de peixe,1999
7305,1108002.Peixe - anchova,1999
7306,1108004.Peixe - corvina,1999
