year;month;ipca;ipca_a;ipca12_a;cpi;juros;dolar;minimo;ibov;onibus;fipezap;stf;bigmac;passagem;plano;gasolina;gas;aluguelsp;gold;energia;cesta;juros_a;dolar_a;minimo_a;ibov_a;onibus_a;fipezap_a;stf_a;bigmac_a;passagem_a;plano_a;gasolina_a;gas_a;aluguelsp_a;gold_a;energia_a;cesta_a
1995;5;1115,24;;;152,1;4,25;0,9;100;3721;0,5;21,74;8000;;;;;;;;;92,61;4,25;2,79;657,44;24463,16;3,29;142,93;52594,81;;;;;;;;;608,85
1995;6;1140,44;2,21;;152,4;4,04;0,91;100;3603,4;0,5;21,74;8000;;;;;;;;;88,21;1,79;2,77;642,91;23166,55;3,21;139,77;51432,64;;;;;;;;;567,11
1995;7;1167,35;2,31;;152,6;4,02;0,93;100;3877,5;0,5;21,74;8000;;;;;;;;;87,55;1,68;2,77;628,09;24354,09;3,14;136,55;50247,00;;;;;;;;;549,89
1995;8;1178,91;0,98;;152,9;3,84;0,94;100;4310,5;0,5;21,74;8000;;;;;;;;;86,79;2,83;2,77;621,93;26808,24;3,11;135,21;49754,30;;;;;;;;;539,77
1995;9;1190,58;0,98;;153,1;3,32;0,95;100;4670;0,5;21,74;8000;;;;;;;;;85,26;2,32;2,78;615,83;28759,38;3,08;133,88;49266,61;;;;;;;;;525,06
1995;10;1207,37;1,39;;153,5;3,09;0,96;100;4128;0,5;21,74;8000;;;;;;;;;87,5;1,68;2,78;607,27;25068,05;3,04;132,02;48581,50;;;;;;;;;531,36
1995;11;1225,12;1,45;;153,7;2,88;0,96;100;4379;0,5;21,74;8000;;;;;;;;;89,04;1,41;2,74;598,47;26207,02;2,99;130,11;47877,63;;;;;;;;;532,88
1995;12;1244,23;1,54;;153,9;2,78;0,97;100;4299;0,5;27,62;8000;;;;;;;;;91,52;1,23;2,73;589,28;25333,08;2,95;162,76;47142,28;;;;;;;;;539,31
1996;1;1260,9;1,32;;154,7;2,58;0,97;100;5151,5;0,65;27,62;8000;;;;;;;;;92,57;1,24;2,71;581,49;29955,35;3,78;160,61;46519,03;;;;;;;;;538,28
1996;2;1273,89;1,02;;155;2,35;0,98;100;4958;0,65;27,62;8000;;;;;;;;;93,77;1,32;2,71;575,56;28536,18;3,74;158,97;46044,67;;;;;;;;;539,70
1996;3;1278,35;0,35;;155,5;2,22;0,99;100;4955;0,65;27,62;8000;;;;;;;;;91,65;1,86;2,74;573,55;28419,42;3,73;158,41;45884,02;;;;;;;;;525,66
1996;4;1294,46;1,24;;156,1;2,07;0,99;100;5164;0,65;27,62;8000;;;;;;;;;92,98;0,82;2,72;566,41;29249,53;3,68;156,44;45312,98;;;;;;;;;526,65
1996;5;1310,25;1,21;17,49;156,4;2,01;1;112;5728;0,65;27,62;8000;;;;;;;;;96,18;0,80;2,72;626,74;32053,11;3,64;154,56;44766,91;;;;;;;;;538,21
1996;6;1325,84;1,18;16,26;156,7;1,98;1;112;6044;0,65;27,62;8000;;;;;;;;;96,34;0,79;2,69;619,37;33423,71;3,59;152,74;44240,51;;;;;;;;;532,77
1996;7;1340,56;1,10;14,84;157;1,93;1,01;112;6123;0,65;25,32;8000;;;;;;;;;97,99;0,82;2,69;612,57;33488,78;3,56;138,48;43754,73;;;;;;;;;535,94
1996;8;1346,46;0,44;14,21;157,2;1,97;1,01;112;6259;0,65;25,32;8000;;;;;;;;;97,26;1,53;2,68;609,88;34082,60;3,54;137,88;43563,00;;;;;;;;;529,62
1996;9;1348,48;0,15;13,26;157,7;1,9;1,02;112;6447;0,65;25,32;8000;;;;;;;;;96,94;1,75;2,72;608,97;35053,75;3,53;137,67;43497,75;;;;;;;;;527,08
